alias,date,scenario,value
BLOWERNG,2024-07-01 00:00:00,2,12.37471621298
BLOWERNG,2024-07-01 01:00:00,2,0.0
GUTHEGA,2024-07-01 00:00:00,2,9.29674111432
GUTHEGA,2024-07-01 01:00:00,2,0.0
MURRAY1,2024-07-01 00:00:00,2,147.05183073394
MURRAY1,2024-07-01 01:00:00,2,0.0
MURRAY2,2024-07-01 00:00:00,2,85.42951294240001
MURRAY2,2024-07-01 01:00:00,2,0.0
TUMUT3,2024-07-01 00:00:00,2,278.65097015623996
TUMUT3,2024-07-01 01:00:00,2,0.0
UPPTUMUT,2024-07-01 00:00:00,2,95.35441224012
UPPTUMUT,2024-07-01 01:00:00,2,0.0
BASTYAN,2024-07-01 00:00:00,2,53.24771364600001
BASTYAN,2024-07-01 01:00:00,2,0.0
CETHANA,2024-07-01 00:00:00,2,56.58476382
CETHANA,2024-07-01 01:00:00,2,0.0
DEVILS_G,2024-07-01 00:00:00,2,40.044602088
DEVILS_G,2024-07-01 01:00:00,2,0.0
FISHER,2024-07-01 00:00:00,2,28.727649324
FISHER,2024-07-01 01:00:00,2,0.0
GORDON,2024-07-01 00:00:00,2,288.00193893
GORDON,2024-07-01 01:00:00,2,0.0
JBUTTERS,2024-07-01 00:00:00,2,96.049009356
JBUTTERS,2024-07-01 01:00:00,2,0.0
LEM_WIL,2024-07-01 00:00:00,2,54.40842675
LEM_WIL,2024-07-01 01:00:00,2,0.0
LI_WY_CA,2024-07-01 00:00:00,2,117.812380056
LI_WY_CA,2024-07-01 01:00:00,2,0.0
LK_ECHO,2024-07-01 00:00:00,2,21.618281562
LK_ECHO,2024-07-01 01:00:00,2,0.0
MACKNTSH,2024-07-01 00:00:00,2,53.24771364600001
MACKNTSH,2024-07-01 01:00:00,2,0.0
MEADOWBK,2024-07-01 00:00:00,2,26.696401392
MEADOWBK,2024-07-01 01:00:00,2,0.0
POAT110,2024-07-01 00:00:00,2,199.93283216400002
POAT110,2024-07-01 01:00:00,2,0.0
REECE1,2024-07-01 00:00:00,2,154.084664556
REECE1,2024-07-01 01:00:00,2,0.0
TARRALEA,2024-07-01 00:00:00,2,59.921813994000004
